coin,date,price,market_cap_billion,total_volume_billion,daily_pct_change
ethereum,2024-10-20,2600.771058363834,313.07086374506304,105.1110444062718,0.992951573603654
ethereum,2024-10-27,2570.0087404695405,309.16823624727175,118.33800532706708,-0.9053880079685914
ethereum,2024-11-03,2555.2155086150965,307.66938031794604,122.29610302265803,0.10174236880470255
ethereum,2024-11-10,2711.697694359508,326.52748778323183,193.39326586586887,3.421361168702294
ethereum,2024-11-17,3186.447868023828,383.57663131533343,332.8948524234818,0.06832376236731084
ethereum,2024-11-24,3222.9704608713973,388.00966297102747,258.32505022192015,1.2263830177251758
ethereum,2024-12-01,3523.594650748647,424.3989322817823,267.9562284909034,1.3595314956452673
ethereum,2024-12-08,3804.200517451308,458.15011800782685,320.9490738121344,1.128758708390982
ethereum,2024-12-15,3833.8668032801656,461.5865727468942,294.3253344410329,-0.4162295626133413
ethereum,2024-12-22,3671.8247109702993,442.20017027195405,328.9236297425288,-2.029191315347282
ethereum,2024-12-29,3390.9760195227195,408.47727019157276,162.61210888017277,0.29445725754789925
ethereum,2025-01-05,3445.034186272547,415.0208893470841,134.54108737629235,1.0867928282607566
ethereum,2025-01-12,3400.001575556426,409.70618508027525,172.76284416342708,-1.486437212219611
ethereum,2025-01-19,3309.469738672053,398.6803250707014,182.57042626872436,0.2073385376942159
ethereum,2025-01-26,3285.585272666261,396.1266519616259,237.25261438432807,0.07059668448328653
ethereum,2025-02-02,3180.917119494337,383.378244570692,165.92624675272572,-0.8153643876863522
ethereum,2025-02-09,2745.308391485942,330.4259206821725,296.88388670122777,-2.3463025156244655
ethereum,2025-02-16,2675.0480751120913,322.44648500159576,128.96682483795425,0.33598429393117174
ethereum,2025-02-23,2707.19983642319,326.3340277815601,135.0732130973873,0.4078549995968667
ethereum,2025-03-02,2581.552459402472,311.2624575304667,134.14166216033811,-2.322321939258415
solana,2024-03-03,122.24355508087032,54.157090261513055,25.798624267316555,3.7853368366366764
solana,2024-03-10,136.40023784728814,60.385404134615435,38.10518552577347,1.6580148437424138
solana,2024-03-17,164.05081176609764,72.76678531632582,58.25784423683696,3.283742669605101
solana,2024-03-24,183.7667875836377,81.60662627546913,59.167830535607635,-0.1980949000751968
solana,2024-03-31,189.49672966986623,84.12748483344353,25.5192681896063,1.6761434230922088
solana,2024-04-07,185.77728737329002,82.65453035108749,33.35771326946063,-1.107896539702245
solana,2024-04-14,167.5056071169982,74.73176463253394,29.866993389193127,-3.3217538579809514
solana,2024-04-21,142.11450676959757,63.500793196744574,40.04439723346247,1.179238018319457
solana,2024-04-28,147.71447584748006,66.06483280054552,23.521024533972586,-0.819726667569387
solana,2024-05-05,137.8226619371189,61.70822522159252,24.170923151921894,0.5432435412205694
solana,2024-05-12,147.62685321254253,66.15550791474705,18.311669857787017,0.0024800086895393797
solana,2024-05-19,155.98935390429648,70.0311927447609,17.704884168813123,2.5755276741012127
solana,2024-05-26,174.8051912136215,78.52030273066036,24.11404743128156,-0.24828178467255807
solana,2024-06-02,166.99289869125434,76.25197055138104,16.32595760782947,-0.18732913147389643
solana,2024-06-09,166.34792370810624,76.5043891934625,14.760139112382015,-0.6462649624111995
solana,2024-06-16,151.52099772429997,69.89512520151094,15.67975217616863,-1.1457984377834616
solana,2024-06-23,138.30937420573076,63.808565904451186,16.83158052296062,-1.1662795133199246
solana,2024-06-30,137.5224180767832,63.55310372909029,16.991563851206603,0.7795629364355532
