coin,date,price,daily_pct_change,market_cap_billion,total_volume_billion
bitcoin,2024-08-10 00:00:00,60912.588533350805,-1.5299998096081957,1198.3005049592505,33.80420892847938
bitcoin,2024-08-11 00:00:00,60887.70861641504,-0.04084527933359,1201.818989571278,13.418919090197285
bitcoin,2024-08-12 00:00:00,58804.23449992608,-3.4218303888139068,1159.1468153976223,21.71599449345689
bitcoin,2024-08-13 00:00:00,59350.07433270696,0.9282321884175992,1171.4417972338908,39.403296385843355
bitcoin,2024-08-14 00:00:00,60601.22317789727,2.108083029814889,1195.7980131908457,31.955576195246287
bitcoin,2024-08-15 00:00:00,58739.19382231015,-3.072593683663871,1159.479277227753,28.07991139767297
bitcoin,2024-08-16 00:00:00,57624.11692852191,-1.8983523968024276,1137.1418368258655,33.490251842381625
bitcoin,2024-08-17 00:00:00,58881.92579151217,2.182782019116192,1162.7160638501132,30.368238897207167
bitcoin,2024-08-18 00:00:00,59430.79163445865,0.9321465552772246,1173.2704974311712,12.467437134055821
bitcoin,2024-08-19 00:00:00,58438.29374268541,-1.670006177736627,1156.2172052941644,17.656027563725022
bitcoin,2024-08-20 00:00:00,59574.94581294088,1.9450466422930912,1176.063402361815,24.03133017925896
bitcoin,2024-08-21 00:00:00,59060.12610074137,-0.8641547301041386,1166.0888633230895,31.470716090619145
bitcoin,2024-08-22 00:00:00,61144.68762866613,3.529558207121042,1207.0990494025118,32.960965010608085
bitcoin,2024-08-23 00:00:00,60387.54062321362,-1.238287469960897,1192.308382713838,28.170302505847406
bitcoin,2024-08-24 00:00:00,64049.68561555576,6.064404932785705,1261.9164340750183,45.03866575942134
bitcoin,2024-08-25 00:00:00,64157.1606134782,0.1677994152345041,1264.9618879989823,22.029153446354357
bitcoin,2024-08-26 00:00:00,64265.81631272862,0.1693586471275265,1269.2910772701146,17.875230147044324
bitcoin,2024-08-27 00:00:00,62922.58634676265,-2.090115776993451,1242.4878236112613,17.89469268109181
bitcoin,2024-08-28 00:00:00,59526.560879590994,-5.397148566742571,1176.7622443080743,38.131727427917895
