coin,date,price,market_cap,total_volume,daily_pct_change
solana,2024-05-23 00:00:00,176.86884758403767,79409425754.64302,3391953928.275571,-0.7327897130356198
solana,2024-05-24 00:00:00,176.0640591935767,79228788063.89075,4803498929.522145,-0.45501986441031095
solana,2024-05-25 00:00:00,167.76687801061138,75398208636.16145,3550795871.0997787,-4.712592235444735
solana,2024-05-26 00:00:00,168.3697915144665,75661703605.5672,1678123312.597497,0.35937576654254677
solana,2024-05-27 00:00:00,163.35859974681,73367866647.74002,2230258323.6142364,-2.976300987594871
solana,2024-05-28 00:00:00,169.81442537506513,76290531024.18916,2411003712.567338,3.951934968995219
solana,2024-05-29 00:00:00,168.75055773108363,77608694232.90857,2899980604.0982533,-0.6264883808497212
solana,2024-05-30 00:00:00,168.13546936257387,77252186457.9422,2520229123.3687077,-0.364495606284132
solana,2024-05-31 00:00:00,167.014473333231,76758497378.74059,2816032327.0417314,-0.6667219198856378
solana,2024-06-01 00:00:00,165.91353028162595,76308339528.46367,2443689641.7254596,-0.6591902064729593
solana,2024-06-02 00:00:00,165.9632350083908,76177678589.68294,1004763875.4137435,0.029958211774827603
solana,2024-06-03 00:00:00,163.11854094832748,75050958641.62373,1496336327.6789188,-1.714050741370221
solana,2024-06-04 00:00:00,164.81254949676975,75681627881.0628,2044856437.252917,1.0385137940750022
solana,2024-06-05 00:00:00,171.7281286123733,78880758222.48264,1750946991.7273138,4.196027023863924
solana,2024-06-06 00:00:00,173.76957145050255,79780936079.13075,2286674729.7825136,1.1887643885861054
solana,2024-06-07 00:00:00,170.37271994953753,78444394866.65672,1965476413.9809701,-1.954802254854271
solana,2024-06-08 00:00:00,162.4532049787127,74856130848.93568,3548053094.3234396,-4.64834685574691
solana,2024-06-09 00:00:00,158.1807505205203,72835917814.34517,1667795117.6359415,-2.6299600914320265
solana,2024-06-10 00:00:00,162.063709361357,74673430538.47688,1435770777.5513241,2.4547606633924746
solana,2024-06-11 00:00:00,158.8863716164394,73151424296.10939,1758494775.187192,-1.9605485752723584
solana,2024-06-12 00:00:00,149.30184393721757,68854872917.61719,3108518009.005868,-6.032315787510967
solana,2024-06-13 00:00:00,154.85704243492725,71448945051.62373,3134898978.6059284,3.7207835825830093
solana,2024-06-14 00:00:00,147.23468433017004,68032711460.25852,2420812427.9759216,-4.922190159973006
solana,2024-06-15 00:00:00,143.0214313059618,66064522093.40304,2657809423.314454,-2.861590014184512
solana,2024-06-16 00:00:00,145.28190108402654,67039970053.087814,1163447784.5279427,1.5805112264811294
solana,2024-06-17 00:00:00,150.65560322695782,69579290410.68553,1310561237.9828827,3.6988104525306875
solana,2024-06-18 00:00:00,143.201979419663,66094864030.905464,2454137648.172359,-4.947458738767374
solana,2024-06-19 00:00:00,137.4629937319601,63233499041.35268,4344910154.552924,-4.0076161732963245
solana,2024-06-20 00:00:00,135.40309403154043,62361208241.968605,2636123561.8074226,-1.4985121773473664
solana,2024-06-21 00:00:00,133.44256940911677,61706156570.99528,2560257578.8712974,-1.4479171517062794
solana,2024-06-22 00:00:00,134.51329489326994,62078256801.37986,2427905741.2715335,0.8023867412733088
solana,2024-06-23 00:00:00,133.48608472760722,61606686233.870865,1097684600.3022025,-0.7636495459261261
solana,2024-06-24 00:00:00,128.54028172949205,59352841547.741,1252604454.7991865,-3.7051075460094673
solana,2024-06-25 00:00:00,132.3377865818776,61042345065.70789,3858603868.9472075,2.9543305812704146
solana,2024-06-26 00:00:00,136.51374501335556,63106257051.66343,2814099573.8678613,3.1555299052053343
solana,2024-06-27 00:00:00,136.4415134350111,63108597357.703316,1948967423.6505835,-0.052911579224046434
solana,2024-06-28 00:00:00,149.23075419544415,68956935473.7399,3176696321.950792,9.373423409382454
solana,2024-06-29 00:00:00,139.72594706135848,64611649671.817276,2594297845.7966657,-6.3692012985724356
solana,2024-06-30 00:00:00,139.86689852094338,64693099935.25913,1346294362.1943076,0.1008770829966199
solana,2024-07-01 00:00:00,146.42869641202853,67675125124.59939,1780441975.6133604,4.691458780079127
solana,2024-07-02 00:00:00,146.34737782842973,67673065514.69488,2006890597.1463182,-0.05553459505640568
solana,2024-07-03 00:00:00,153.63922449411186,71136229946.13242,2426999726.934943,4.982560517230938
solana,2024-07-04 00:00:00,140.7242009904032,65082723830.858505,3214187013.5043983,-8.406071786833069
solana,2024-07-05 00:00:00,127.93484525812943,59426641950.27212,3791021538.3341756,-9.088241853400858
solana,2024-07-06 00:00:00,134.41985405373308,62269271952.277084,5884811589.169382,5.068993347761586
solana,2024-07-07 00:00:00,143.1010931430681,66217813182.98343,2489336508.5500417,6.458301231204122
solana,2024-07-08 00:00:00,131.85304400674195,61059941285.76865,2189333148.6797557,-7.860211888864265
solana,2024-07-09 00:00:00,139.3176879675135,64537904951.409996,4080257370.582092,5.661336085945701
solana,2024-07-10 00:00:00,141.45706675192378,65737860357.994644,2918129762.127563,1.535611748674115
solana,2024-07-11 00:00:00,141.92265716309768,65837743099.40003,2267417219.9193945,0.32913902561717556
solana,2024-07-12 00:00:00,136.0741315804191,63095416379.09987,2968505762.681664,-4.120924522965663
solana,2024-07-13 00:00:00,139.36219270413474,64601740344.9905,2492119021.139762,2.4163748726718115
solana,2024-07-14 00:00:00,141.6752437311082,65828079252.62245,1319666582.8903584,1.6597406958744232
solana,2024-07-15 00:00:00,147.95483971650256,68729116144.65176,2482805432.3753552,4.432387635282775
solana,2024-07-16 00:00:00,159.92387112565993,74102104615.57973,3109645281.746366,8.089651837068201
solana,2024-07-17 00:00:00,160.78254302928178,74732938819.62112,3487082045.509735,0.5369254118086975
solana,2024-07-18 00:00:00,155.40160618387858,72209875941.80649,2719714237.7638583,-3.3467170900656873
solana,2024-07-19 00:00:00,159.01459142432648,73852444296.54735,2617149109.5042167,2.324934297122283
